City,Month in 2022,Number of Days in Different Categories of AQI - Good - (0-50),Number of Days in Different Categories of AQI - Satisfactory - (51-100),Number of Days in Different Categories of AQI - Moderate - (101-200),Number of Days in Different Categories of AQI - Poor - (201-300),Number of Days in Different Categories of AQI - Very Poor - (301-400),Number of Days in Different Categories of AQI - Severe - (>401),Good Days,Bad days
Delhi,June,NA,3,14,10,3,NA,17,13
Delhi,July,NA,25,6,NA,NA,NA,31,0
Delhi,August,NA,18,13,NA,NA,NA,31,0
Delhi,September,1,11,18,NA,NA,NA,30,0
Delhi,October,2,4,8,10,7,NA,14,17
Delhi,November,NA,NA,NA,12,15,3,0,30
Ghaziabad,June,NA,2,13,11,4,NA,15,15
Ghaziabad,July,2,21,7,NA,NA,NA,30,0
Ghaziabad,August,2,17,12,NA,NA,NA,31,0
Ghaziabad,September,3,11,16,NA,NA,NA,30,0
Ghaziabad,October,5,1,6,13,6,NA,12,19
Ghaziabad,November,NA,NA,5,13,10,2,5,25
Noida,June,NA,2,13,10,5,NA,15,15
Noida,July,1,24,5,NA,NA,NA,30,0
Noida,August,3,19,9,NA,NA,NA,31,0
Noida,September,1,14,15,NA,NA,NA,30,0
Noida,October,3,3,8,11,6,NA,14,17
Noida,November,NA,NA,6,13,9,2,6,24
Gurugram,June,NA,1,13,12,4,NA,14,16
Gurugram,July,2,14,12,2,NA,NA,28,2
Gurugram,August,2,16,13,NA,NA,NA,31,0
Gurugram,September,1,8,21,NA,NA,NA,30,0
Gurugram,October,4,2,8,11,6,NA,14,17
Gurugram,November,NA,NA,1,18,9,2,1,29
Faridabad,June,NA,3,16,9,2,NA,19,11
Faridabad,July,NA,17,13,NA,NA,NA,30,0
Faridabad,August,1,5,25,NA,NA,NA,31,0
Faridabad,September,2,11,17,NA,NA,NA,30,0
Faridabad,October,4,2,10,8,7,NA,16,15
Faridabad,November,NA,NA,1,15,12,2,1,29
